id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
11026,12.19,Tops,V-Neck Top,Tommy Hilfiger,28.87,Women,MC-54366497,7
11027,82.73,Plus,Triple-buffered mission-critical middleware,Puma,187.3,Women,gx-82405713,10
11028,99.49,Plus,Synergistic systemic success,Puma,355.88,Men,Yw-02415228,3
11029,79.12,Tops,Cotton T-Shirt,Levi's,250.49,Women,cS-68486912,2
11030,83.38,Accessories,Enzyme Regular Scarf,Tommy Hilfiger,227.38,Women,ND-32760498,2
11031,94.57,Outerwear & Coats,Future-proofed object-oriented archive,MG,387.44,Men,XJ-78581237,1
11032,13.29,Pants,Adaptive 6thgeneration policy,Levi's,47.46,Men,Wx-55568051,7
11033,2.74,Tops,Cotton T-Shirt,Adidas,5.78,Women,hB-73653661,4
11034,40.04,Plus,Vision-oriented user-facing application,Gap,119.28,Women,Ad-35208271,10
11035,23.42,Accessories,Low Profile Dyed Cap,Levi's,102.47,Women,Np-35022395,5
11036,77.27,Accessories,Washed Canvas Ivy Hat,Tommy Hilfiger,285.47,Women,ZC-96031543,1
11037,75.4,Sweaters,Fundamental next generation help-desk,Puma,158.74,Men,ZG-92248438,6
11038,63.77,Outerwear & Coats,Expanded bifurcated secured line,Levi's,160.06,Women,gi-92227188,2
11039,10.59,Plus,Multi-tiered mission-critical paradigm,Gap,19.08,Men,aP-74633213,7
11040,20.41,Accessories,Enzyme Regular Scarf,Puma,54.66,Men,Bs-76750979,2
11041,53.02,Sweaters,Pre-emptive grid-enabled interface,Calvin Klein,113.05,Women,QQ-94437399,1
11042,88.58,Pants,Automated attitude-oriented interface,Puma,307.25,Women,WI-95029525,9
11043,33.1,Sweaters,Mandatory motivating archive,MG,136.87,Women,iL-11800431,10
11044,2.0,Plus,Reverse-engineered content-based synergy,Calvin Klein,8.09,Men,Sz-49725531,10
11045,36.7,Outerwear & Coats,Innovative foreground conglomeration,Nike,67.36,Men,FZ-58194917,7
11046,58.82,Plus,Vision-oriented directional collaboration,Adidas,148.41,Women,oN-67052467,5
11047,66.3,Sweaters,Stand-alone fault-tolerant portal,Nike,292.76,Women,in-19445222,7
11048,75.65,Accessories,4 Panel Large Bill Cap,Puma,227.53,Men,IV-82166495,7
11049,62.44,Tops,Polo Shirt,Calvin Klein,195.54,Men,yL-76085230,8
11050,95.3,Tops,Polo Shirt,H&M,323.51,Men,bq-03229062,6
11051,76.96,Plus,Public-key 3rdgeneration implementation,Nike,278.04,Women,PD-22781547,5
11052,48.91,Pants,Visionary impactful function,Calvin Klein,92.83,Men,PG-52984020,6
11053,25.2,Pants,Networked upward-trending application,Tommy Hilfiger,111.05,Women,lV-36259741,7
11054,99.99,Outerwear & Coats,Persistent stable forecast,Levi's,376.56,Women,Bx-13963098,3
11055,83.86,Accessories,Enzyme Regular Scarf,Levi's,272.19,Men,Eo-17790308,2
11056,50.28,Outerwear & Coats,Upgradable motivating service-desk,Puma,212.15,Men,YV-44733199,10
11057,14.89,Tops,Polo Shirt,Gap,48.92,Men,bZ-11946564,6
11058,98.15,Plus,Function-based zero tolerance intranet,H&M,261.83,Men,lS-85758045,3
11059,60.79,Plus,Profound high-level flexibility,MG,194.13,Women,ZG-64916864,7
11060,25.13,Outerwear & Coats,Switchable client-server moderator,Tommy Hilfiger,90.44,Men,UY-69286328,6
11061,90.14,Accessories,Washed Canvas Ivy Hat,H&M,194.95,Women,cS-82870319,5
11062,9.39,Tops,V-Neck Top,MG,38.16,Women,cR-40339321,10
11063,24.23,Jeans,Skinny Jeans,H&M,97.67,Men,Th-25105409,2
11064,17.62,Jeans,Regular Fit Jeans,Calvin Klein,39.65,Women,vU-03010344,2
11065,75.45,Plus,Advanced attitude-oriented portal,H&M,304.4,Women,or-31911592,8
11066,67.49,Accessories,Washed Canvas Ivy Hat,H&M,289.82,Women,IZ-87324779,7
11067,75.68,Accessories,Enzyme Regular Scarf,H&M,147.36,Women,Xk-19162933,2
11068,50.31,Sweaters,Intuitive holistic methodology,Puma,122.86,Men,XY-95593726,5
11069,13.15,Pants,Monitored web-enabled attitude,Adidas,51.1,Women,Hw-63481493,4
11070,95.38,Pants,Secured directional matrices,Adidas,327.17,Women,yU-84139227,8
11071,44.51,Pants,Open-architected dedicated focus group,Puma,119.76,Men,if-00361764,5
11072,82.21,Sweaters,Expanded holistic approach,Tommy Hilfiger,246.87,Men,MN-67889711,1
11073,22.83,Outerwear & Coats,Quality-focused systemic Graphical User Interface,H&M,92.05,Women,eX-80788581,8
11074,59.34,Pants,Business-focused value-added analyzer,Gap,150.25,Women,Gb-67966797,5
11075,98.4,Plus,Up-sized intangible archive,Tommy Hilfiger,275.84,Men,jf-64819988,2
11076,25.15,Plus,Centralized hybrid extranet,Adidas,70.24,Women,Mq-74866862,7
11077,15.52,Sweaters,Down-sized exuding algorithm,Tommy Hilfiger,48.2,Men,AK-85829098,7
11078,44.9,Pants,Total upward-trending website,Puma,137.26,Men,tG-77914578,8
11079,15.91,Tops,Polo Shirt,MG,36.44,Women,iI-05046504,7
11080,52.12,Plus,Function-based national capability,MG,221.31,Men,Ls-85665377,9
11081,76.8,Accessories,Low Profile Dyed Cap,Levi's,156.61,Women,pT-24321191,7
11082,84.07,Plus,Cross-group composite pricing structure,Puma,232.88,Women,sI-25428189,3
11083,48.33,Jeans,Regular Fit Jeans,Tommy Hilfiger,185.16,Men,ge-65248862,5
11084,23.65,Jeans,Regular Fit Jeans,MG,84.66,Women,CY-14357557,10
11085,1.9,Plus,Profound real-time concept,Puma,4.01,Men,Zx-80147148,7
11086,12.61,Outerwear & Coats,Cross-group 3rdgeneration adapter,Tommy Hilfiger,43.19,Women,il-17015688,5
11087,41.19,Accessories,4 Panel Large Bill Cap,MG,170.84,Men,hQ-14634114,1
11088,60.26,Pants,Secured systematic parallelism,Levi's,186.08,Women,YW-28770809,7
11089,49.33,Accessories,Low Profile Dyed Cap,Adidas,187.86,Men,RE-36097908,8
11090,77.41,Plus,Proactive human-resource monitoring,H&M,323.79,Women,SG-48312215,8
11091,34.31,Sweaters,Team-oriented didactic installation,Puma,151.33,Women,qR-08567324,5
11092,13.07,Jeans,Regular Fit Jeans,MG,49.19,Women,iV-86996646,8
11093,62.11,Pants,Phased executive matrices,Gap,120.96,Women,aP-28194371,3
11094,68.76,Outerwear & Coats,Function-based dynamic moratorium,Calvin Klein,216.42,Women,Vt-52077530,10
11095,21.87,Tops,Long Sleeve Shirt,Tommy Hilfiger,87.99,Women,Gm-00710100,3
11096,67.41,Pants,Secured content-based capability,Gap,131.68,Women,WJ-22491697,4
11097,92.23,Jeans,Bootcut Jeans,Puma,188.87,Women,ba-08416249,6
11098,84.5,Accessories,Washed Canvas Ivy Hat,MG,254.59,Men,as-26869902,4
11099,4.91,Sweaters,Upgradable explicit artificial intelligence,Calvin Klein,14.73,Women,aG-11707703,8
11100,92.76,Pants,Customizable background protocol,MG,389.47,Men,Fd-09025305,10
11101,10.87,Outerwear & Coats,Vision-oriented multi-tasking array,H&M,33.15,Women,Xm-83400804,10
11102,57.82,Tops,V-Neck Top,Tommy Hilfiger,226.19,Women,ha-25666737,9
11103,91.51,Tops,Polo Shirt,Tommy Hilfiger,283.47,Men,IG-34262663,10
11104,96.79,Outerwear & Coats,Inverse foreground utilization,Levi's,309.05,Men,SF-94055784,1
11105,62.59,Plus,Triple-buffered zero tolerance frame,Gap,200.45,Men,eu-14297469,7
11106,87.12,Plus,Function-based empowering artificial intelligence,Tommy Hilfiger,363.05,Men,cV-62391628,2
11107,84.3,Accessories,Enzyme Regular Scarf,Nike,347.59,Women,XZ-92147967,9
11108,32.34,Jeans,Skinny Jeans,MG,126.68,Men,vr-61754574,4
11109,53.87,Jeans,Regular Fit Jeans,Nike,160.9,Men,Um-29169437,7
11110,45.13,Sweaters,Streamlined motivating concept,Tommy Hilfiger,192.39,Men,uL-60934337,3
11111,62.5,Jeans,High Rise Jeans,Gap,196.73,Women,XJ-88060144,7
11112,68.04,Outerwear & Coats,Organized leadingedge protocol,Nike,136.29,Men,ZP-50695089,10
11113,83.87,Tops,Long Sleeve Shirt,MG,262.91,Men,El-51936994,7
11114,74.92,Accessories,4 Panel Large Bill Cap,Nike,314.98,Women,Bg-16225274,1
11115,20.0,Sweaters,Upgradable web-enabled matrices,Gap,55.78,Men,UF-14825259,5
11116,16.36,Outerwear & Coats,Multi-tiered foreground encryption,Puma,40.21,Men,FN-56767486,2
11117,48.14,Sweaters,Open-source eco-centric paradigm,Tommy Hilfiger,161.76,Women,MY-48112987,1
11118,2.91,Tops,Long Sleeve Shirt,Nike,5.58,Men,GE-16275787,5
11119,58.86,Sweaters,Polarized composite workforce,Nike,241.17,Men,FB-02974069,4
11120,15.37,Accessories,Low Profile Dyed Cap,Gap,55.04,Women,us-71072495,7
11121,63.76,Pants,Enterprise-wide coherent analyzer,MG,156.34,Women,eq-32186558,5
11122,5.35,Outerwear & Coats,Inverse didactic neural-net,Levi's,16.69,Women,BS-18435998,5
11123,20.55,Tops,Cotton T-Shirt,Nike,73.24,Men,hT-25589150,9
11124,15.0,Plus,De-engineered background complexity,Calvin Klein,43.47,Men,kg-87181299,10
11125,7.19,Sweaters,Enhanced clear-thinking archive,H&M,24.61,Men,iu-47115129,9
11126,40.3,Pants,Grass-roots zero tolerance encoding,Puma,112.46,Men,Gg-61619243,8
11127,65.01,Pants,Progressive systemic standardization,Adidas,269.82,Women,gg-72597463,2
11128,37.79,Plus,Switchable upward-trending archive,Nike,81.07,Women,id-86990704,3
11129,27.22,Jeans,High Rise Jeans,Tommy Hilfiger,116.76,Men,UY-48980178,2
11130,31.63,Outerwear & Coats,Cross-platform next generation Graphical User Interface,Gap,139.65,Men,ZM-05894087,4
11131,7.46,Pants,Front-line user-facing success,Gap,32.31,Men,oZ-31321188,9
11132,39.32,Pants,Cross-group coherent service-desk,Nike,166.09,Men,Dg-79503555,1
11133,12.28,Jeans,High Rise Jeans,H&M,48.37,Men,aC-82458393,8
11134,97.69,Accessories,4 Panel Large Bill Cap,Puma,311.47,Men,Ja-10652027,3
11135,79.29,Outerwear & Coats,Face-to-face heuristic encryption,Tommy Hilfiger,294.69,Men,Ja-35219648,10
11136,62.27,Plus,Diverse mission-critical monitoring,Levi's,131.92,Women,kB-68465338,6
11137,94.6,Plus,Multi-layered multi-state model,Puma,236.08,Women,aa-71287199,7
11138,30.85,Tops,Long Sleeve Shirt,Tommy Hilfiger,137.61,Men,HA-45187746,9
11139,84.83,Pants,Reactive grid-enabled knowledgebase,MG,170.81,Women,TW-05401324,5
11140,76.73,Sweaters,Right-sized secondary benchmark,MG,220.72,Men,xO-36078173,4
11141,19.3,Plus,Automated coherent installation,Calvin Klein,80.46,Men,Pa-85385766,10
11142,70.24,Pants,Innovative tangible access,Nike,150.3,Women,FQ-89058393,4
11143,76.52,Plus,Enhanced grid-enabled leverage,Levi's,319.21,Women,oE-83792138,3
11144,66.62,Outerwear & Coats,Assimilated transitional alliance,Puma,209.05,Men,hA-79630878,6
11145,17.75,Outerwear & Coats,Digitized discrete functionalities,Puma,41.3,Men,fi-59932793,6
11146,46.04,Outerwear & Coats,Enterprise-wide actuating access,MG,85.43,Men,Bb-35186132,3
11147,27.06,Sweaters,Future-proofed bandwidth-monitored strategy,H&M,107.72,Men,Yi-22828179,6
11148,79.82,Tops,Cotton T-Shirt,Puma,311.15,Men,vv-66229079,5
11149,3.97,Plus,Synergized uniform capacity,H&M,10.71,Women,lO-95538007,3
11150,54.52,Plus,Phased regional toolset,Calvin Klein,167.55,Women,nF-80656950,5
11151,77.36,Sweaters,Front-line attitude-oriented architecture,Adidas,242.02,Men,hY-67196801,1
11152,47.56,Tops,Polo Shirt,Nike,135.35,Men,FN-03479093,4
11153,53.2,Sweaters,Compatible asynchronous orchestration,Calvin Klein,192.01,Women,Sy-79109965,9
11154,14.62,Jeans,Bootcut Jeans,MG,30.68,Women,ry-63317759,1
11155,91.72,Plus,Monitored contextually-based benchmark,Puma,231.04,Women,KS-77282396,9
11156,94.07,Outerwear & Coats,Organic zero-defect capacity,Tommy Hilfiger,302.37,Men,Ed-78430145,6
11157,71.11,Sweaters,Advanced local success,Calvin Klein,159.67,Men,PQ-77330116,7
11158,37.88,Pants,Compatible needs-based database,Tommy Hilfiger,79.92,Men,kt-18658384,10
11159,77.13,Accessories,4 Panel Large Bill Cap,Nike,263.39,Men,hN-38852181,4
11160,75.79,Pants,Down-sized 4thgeneration attitude,Calvin Klein,152.27,Women,lL-48132572,3
11161,42.06,Accessories,Enzyme Regular Scarf,Nike,144.4,Men,ei-21275026,7
11162,91.83,Accessories,4 Panel Large Bill Cap,Tommy Hilfiger,412.31,Women,GY-14425756,8
11163,27.95,Tops,Polo Shirt,Levi's,57.41,Men,uS-11379610,9
11164,37.48,Accessories,Low Profile Dyed Cap,Levi's,140.24,Men,sT-74378765,7
11165,62.01,Tops,Cotton T-Shirt,Nike,130.77,Women,Sd-55104873,10
11166,63.95,Tops,Cotton T-Shirt,Puma,251.15,Women,YU-44980540,9
11167,64.3,Plus,Fully-configurable well-modulated groupware,Calvin Klein,160.08,Women,Dk-45591976,2
11168,3.91,Sweaters,Face-to-face full-range open system,Nike,17.19,Women,cP-55100835,7
11169,56.6,Plus,User-centric transitional task-force,Nike,129.17,Men,vF-39748207,6
11170,92.87,Tops,Long Sleeve Shirt,Gap,247.02,Women,BK-53724656,2
11171,19.03,Accessories,Enzyme Regular Scarf,Puma,60.65,Men,Rj-01094518,1
11172,81.76,Plus,Configurable context-sensitive infrastructure,Tommy Hilfiger,279.22,Men,Pz-97089769,7
11173,2.56,Sweaters,Quality-focused asymmetric matrix,Tommy Hilfiger,5.08,Women,cY-85170941,8
11174,53.07,Pants,De-engineered web-enabled extranet,Tommy Hilfiger,173.07,Men,LD-44174874,2
11175,91.53,Jeans,Bootcut Jeans,MG,259.35,Women,sx-27538697,4
11176,49.79,Accessories,4 Panel Large Bill Cap,MG,173.84,Men,dw-35626772,6
11177,13.31,Sweaters,Digitized homogeneous software,Tommy Hilfiger,44.79,Women,fT-83071534,7
11178,69.65,Outerwear & Coats,Synchronized 5thgeneration monitoring,Adidas,189.24,Men,Xw-79943838,6
11179,45.51,Pants,Multi-channeled holistic application,Puma,121.57,Men,dD-84110909,7
11180,26.3,Outerwear & Coats,Expanded optimizing hardware,Tommy Hilfiger,116.75,Men,kq-02285564,2
11181,41.7,Sweaters,Synchronized optimal matrix,H&M,136.99,Women,IY-35262311,4
11182,67.83,Jeans,Regular Fit Jeans,Levi's,130.1,Women,nz-40065519,4
11183,4.06,Plus,Multi-tiered intangible circuit,Puma,16.25,Men,OW-17065217,4
11184,59.84,Outerwear & Coats,Digitized modular migration,Nike,110.34,Women,wL-64510888,10
11185,93.26,Pants,Ergonomic static middleware,Adidas,284.82,Women,JK-02204319,9
11186,74.43,Outerwear & Coats,Customer-focused grid-enabled leverage,MG,150.27,Men,qp-50004692,10
11187,29.61,Sweaters,Team-oriented regional adapter,Levi's,69.66,Men,YO-97667466,3
11188,96.97,Tops,V-Neck Top,MG,420.11,Men,SZ-48234939,7
11189,24.07,Jeans,High Rise Jeans,H&M,86.45,Men,Yp-67519519,9
11190,65.02,Plus,Open-architected optimizing orchestration,Levi's,189.58,Men,Gf-73044345,8
11191,72.98,Outerwear & Coats,Function-based intangible leverage,Nike,192.56,Men,WH-95636535,4
11192,77.63,Jeans,Regular Fit Jeans,Gap,190.33,Men,ks-30780278,6
11193,77.19,Plus,Innovative executive protocol,Puma,254.11,Men,ax-06087061,10
11194,27.69,Tops,Polo Shirt,Calvin Klein,65.38,Men,NF-67624064,4
11195,40.44,Jeans,Skinny Jeans,Gap,145.96,Men,Zi-39676456,9
11196,33.66,Jeans,Skinny Jeans,Levi's,89.9,Women,ZI-18471512,3
11197,47.28,Sweaters,Exclusive didactic Graphical User Interface,Levi's,207.41,Men,HL-71223950,4
11198,80.91,Jeans,Skinny Jeans,Calvin Klein,360.52,Women,kJ-40421007,1
11199,98.44,Outerwear & Coats,Reactive motivating approach,Adidas,305.4,Women,lD-72475071,7
11200,91.28,Accessories,4 Panel Large Bill Cap,Tommy Hilfiger,339.6,Men,gm-19685036,10
11201,25.05,Sweaters,Advanced 24hour alliance,H&M,91.25,Women,YB-85449416,6
11202,99.84,Tops,Long Sleeve Shirt,Puma,211.68,Women,qh-05578398,2
11203,43.8,Accessories,4 Panel Large Bill Cap,Levi's,194.55,Men,ZJ-15200952,10
11204,94.7,Accessories,Low Profile Dyed Cap,Tommy Hilfiger,318.26,Men,gF-65612215,2
11205,94.63,Plus,Re-contextualized mission-critical circuit,Tommy Hilfiger,188.2,Men,tX-08097867,5
11206,94.17,Accessories,4 Panel Large Bill Cap,Tommy Hilfiger,334.56,Women,bU-84962000,8
11207,53.33,Jeans,Bootcut Jeans,Levi's,236.22,Women,vj-54430427,2
11208,83.37,Accessories,Enzyme Regular Scarf,MG,192.19,Women,vT-06175405,9
11209,34.27,Sweaters,Monitored national installation,Puma,117.51,Women,sl-95089166,2
11210,97.04,Plus,Devolved fresh-thinking knowledgebase,Gap,392.64,Women,jf-47302973,3
11211,97.06,Tops,Cotton T-Shirt,Tommy Hilfiger,250.24,Men,Ip-77136932,9
11212,53.68,Jeans,Skinny Jeans,H&M,153.36,Men,fm-16337579,1
11213,68.64,Plus,Sharable didactic encoding,Adidas,197.6,Women,iu-43450377,5
11214,20.68,Tops,Long Sleeve Shirt,Gap,37.32,Women,St-86401874,8
11215,2.22,Sweaters,Synchronized static parallelism,Gap,7.93,Women,qV-81235912,7
11216,37.99,Outerwear & Coats,Self-enabling next generation middleware,Gap,135.75,Women,HA-81374676,8
11217,68.41,Outerwear & Coats,Self-enabling bi-directional approach,Gap,289.67,Men,CP-87759825,8
11218,34.71,Jeans,Regular Fit Jeans,MG,109.85,Women,Ea-28788599,2
11219,45.47,Outerwear & Coats,Realigned intangible paradigm,Levi's,108.28,Women,LQ-79937313,4
11220,55.1,Plus,Organized neutral knowledgebase,MG,126.98,Men,rZ-47991761,7
11221,25.85,Accessories,Low Profile Dyed Cap,Gap,97.1,Women,iJ-99793350,2
11222,40.39,Sweaters,Diverse empowering forecast,MG,89.23,Men,DZ-55608170,5
11223,16.92,Tops,Polo Shirt,MG,74.61,Men,KZ-69874834,1
11224,15.48,Sweaters,Horizontal holistic support,Levi's,61.55,Women,GT-29815535,10
11225,5.6,Outerwear & Coats,Team-oriented didactic software,Nike,17.9,Men,vs-01134985,3
11226,78.28,Plus,Triple-buffered empowering system engine,Tommy Hilfiger,286.85,Women,ew-37442892,2
11227,69.55,Outerwear & Coats,Ergonomic transitional conglomeration,Levi's,191.49,Women,Al-77316264,5
11228,24.37,Sweaters,Synergistic user-facing utilization,Gap,94.93,Men,pe-52914158,7
11229,9.3,Outerwear & Coats,Integrated encompassing conglomeration,Calvin Klein,38.28,Men,eJ-13194418,4
11230,54.81,Plus,Configurable homogeneous open system,Gap,125.65,Men,Ob-49052398,7
11231,29.03,Sweaters,Programmable bifurcated functionalities,Levi's,93.29,Women,iU-00507191,1
11232,91.3,Jeans,High Rise Jeans,Nike,387.53,Men,zm-29464688,3
11233,72.88,Pants,Secured needs-based portal,Calvin Klein,290.44,Women,bD-24459845,8
11234,68.22,Jeans,High Rise Jeans,MG,156.64,Men,oH-71185430,7
11235,44.03,Jeans,Skinny Jeans,MG,131.25,Men,Oz-83985731,5
11236,67.11,Outerwear & Coats,Pre-emptive 5thgeneration core,H&M,274.67,Women,Kd-65579394,5
11237,76.88,Sweaters,Quality-focused system-worthy neural-net,Calvin Klein,315.84,Men,Vw-29169202,10
11238,12.21,Tops,Polo Shirt,Adidas,44.63,Men,LJ-00311691,3
11239,67.43,Tops,V-Neck Top,Gap,302.07,Men,xw-33556461,10
11240,28.57,Plus,Polarized non-volatile circuit,Levi's,74.93,Men,QH-60714470,10
11241,24.19,Outerwear & Coats,Intuitive tangible strategy,Puma,83.85,Women,lV-45957929,7
11242,30.89,Outerwear & Coats,Enhanced 24/7 toolset,Puma,88.81,Women,gv-95352866,8
11243,72.89,Outerwear & Coats,Synchronized zero-defect core,Puma,214.75,Men,OX-61441411,8
11244,83.9,Accessories,Washed Canvas Ivy Hat,Calvin Klein,173.86,Women,sR-09003256,1
11245,24.02,Accessories,4 Panel Large Bill Cap,Tommy Hilfiger,103.51,Men,Ts-35738046,10
11246,44.76,Plus,Organic mission-critical info-mediaries,Nike,180.53,Men,hR-46300685,5
11247,41.7,Plus,Managed global array,Puma,90.5,Women,Pz-80519323,1
11248,69.11,Accessories,Washed Canvas Ivy Hat,H&M,175.73,Men,WH-67515479,7
11249,93.73,Plus,Cross-group fresh-thinking interface,Tommy Hilfiger,419.99,Women,ws-58253223,7
11250,15.51,Outerwear & Coats,Compatible methodical archive,Puma,51.69,Men,ZA-09713883,3
11251,18.01,Sweaters,Streamlined local forecast,Tommy Hilfiger,67.43,Women,Hf-73883452,4
11252,47.57,Pants,Phased coherent parallelism,Adidas,186.41,Men,Cc-58766678,3
11253,6.71,Pants,Reactive responsive monitoring,Levi's,18.98,Women,xz-43595788,7
11254,72.46,Plus,Proactive high-level service-desk,Nike,135.44,Women,fF-55360261,5
11255,61.92,Jeans,Regular Fit Jeans,Adidas,133.79,Men,lb-80009211,1
11256,41.33,Plus,De-engineered client-server utilization,Tommy Hilfiger,110.11,Women,kn-92374131,5
11257,68.16,Pants,User-friendly incremental portal,Levi's,290.11,Men,Xn-40732517,8
11258,42.97,Jeans,Skinny Jeans,Tommy Hilfiger,125.91,Women,bF-00761122,2
11259,67.36,Outerwear & Coats,Operative attitude-oriented product,MG,287.18,Men,mX-04081088,2
11260,58.12,Jeans,Bootcut Jeans,MG,190.39,Women,MW-19301351,2
11261,34.89,Jeans,High Rise Jeans,Calvin Klein,141.18,Men,qc-23748782,5
11262,43.44,Pants,Public-key mission-critical pricing structure,Tommy Hilfiger,94.47,Women,vM-04005749,2
11263,26.52,Jeans,Skinny Jeans,H&M,74.07,Men,Cy-97313546,6
11264,59.73,Accessories,4 Panel Large Bill Cap,Nike,234.93,Men,DG-35221402,2
11265,86.9,Outerwear & Coats,Grass-roots client-driven info-mediaries,Nike,348.1,Men,Zm-91869207,4
11266,64.69,Sweaters,Assimilated discrete paradigm,Calvin Klein,216.41,Women,Ir-02196956,10
11267,68.87,Accessories,4 Panel Large Bill Cap,Calvin Klein,238.18,Women,zg-34319721,5
11268,87.9,Jeans,Regular Fit Jeans,Nike,311.35,Men,wv-90529679,2
11269,85.59,Sweaters,Visionary full-range encoding,Calvin Klein,316.22,Women,El-62555065,8
11270,88.43,Jeans,High Rise Jeans,MG,296.15,Women,ta-48226859,4
11271,56.27,Sweaters,Face-to-face reciprocal collaboration,Adidas,217.36,Men,lN-39356740,9
11272,59.62,Pants,Re-engineered 4thgeneration product,Adidas,111.09,Women,GN-31084951,9
11273,23.59,Outerwear & Coats,Sharable attitude-oriented pricing structure,H&M,102.21,Women,WX-50421065,9
11274,89.67,Tops,Polo Shirt,Gap,280.91,Men,eX-69530195,6
11275,12.24,Pants,Pre-emptive tangible attitude,Tommy Hilfiger,51.41,Women,Nz-08013340,3
11276,61.54,Pants,Synergized optimal groupware,Nike,125.56,Men,nK-33616342,4
11277,51.44,Sweaters,Fundamental real-time synergy,H&M,126.57,Women,JP-63995042,4
11278,97.67,Accessories,Washed Canvas Ivy Hat,Gap,336.32,Men,Fo-99350345,2
11279,55.89,Outerwear & Coats,Re-engineered incremental success,H&M,187.54,Men,UD-81983880,1
11280,2.24,Sweaters,Right-sized incremental collaboration,Gap,6.34,Men,xN-48036008,9
11281,2.46,Accessories,Washed Canvas Ivy Hat,Tommy Hilfiger,9.48,Men,ad-51709548,1
11282,84.89,Accessories,Low Profile Dyed Cap,Levi's,241.28,Women,xT-70257101,6
11283,94.2,Outerwear & Coats,Balanced dedicated alliance,H&M,409.38,Men,dN-99085315,6
11284,66.09,Pants,Profound bifurcated orchestration,Puma,157.57,Women,Zr-26959587,8
11285,94.77,Plus,Digitized optimal matrix,H&M,382.13,Men,lo-26506381,1
11286,71.3,Outerwear & Coats,Multi-tiered human-resource circuit,Tommy Hilfiger,155.65,Women,Yg-04705396,1
11287,95.36,Accessories,4 Panel Large Bill Cap,MG,282.86,Men,jX-76148286,9
11288,19.84,Outerwear & Coats,Fundamental client-driven extranet,Adidas,80.81,Men,So-91837641,4
11289,8.58,Plus,Sharable 24hour collaboration,Gap,16.93,Men,Uk-32773943,1
11290,91.94,Plus,Down-sized leadingedge firmware,Tommy Hilfiger,379.33,Women,bh-59024262,7
11291,31.99,Plus,Virtual static benchmark,Nike,60.29,Women,FQ-08498683,10
11292,48.57,Sweaters,Public-key solution-oriented encoding,Puma,203.72,Men,dz-03103964,2
11293,20.93,Tops,Long Sleeve Shirt,MG,71.17,Men,QD-73601518,4
11294,59.99,Plus,Centralized contextually-based migration,H&M,159.96,Women,Bm-00359391,9
11295,13.29,Jeans,Regular Fit Jeans,Tommy Hilfiger,53.53,Men,aG-83488060,8
11296,8.57,Tops,Long Sleeve Shirt,H&M,20.15,Women,ne-13845712,6
11297,67.11,Sweaters,Monitored composite time-frame,H&M,141.51,Men,tW-66662027,3
11298,30.47,Jeans,Bootcut Jeans,Adidas,122.07,Men,br-53886061,5
11299,27.55,Plus,Triple-buffered client-server database,Calvin Klein,104.97,Men,Sb-04716972,1
11300,30.26,Pants,Customizable hybrid frame,Nike,70.16,Women,Rn-69185435,5
11301,67.52,Accessories,Washed Canvas Ivy Hat,H&M,186.79,Men,St-40739365,8
11302,19.41,Jeans,High Rise Jeans,H&M,54.05,Women,Dk-12058464,1
11303,25.82,Accessories,Enzyme Regular Scarf,Adidas,106.86,Women,wr-27961764,5
11304,53.92,Pants,Public-key neutral complexity,Gap,113.63,Men,fG-54937283,3
11305,97.45,Accessories,Low Profile Dyed Cap,Adidas,348.88,Men,jv-82092746,3
11306,37.81,Plus,Innovative intermediate leverage,H&M,149.28,Women,wo-83866699,3
11307,74.85,Accessories,Enzyme Regular Scarf,Gap,293.22,Men,qt-34278058,9
11308,94.24,Plus,Horizontal mission-critical intranet,Tommy Hilfiger,372.69,Men,Ja-95698762,1
11309,59.17,Outerwear & Coats,Triple-buffered clear-thinking solution,Calvin Klein,246.83,Women,dW-05287496,6
11310,24.7,Accessories,Enzyme Regular Scarf,MG,78.51,Women,uD-34194815,8
11311,35.76,Accessories,4 Panel Large Bill Cap,Calvin Klein,88.54,Men,Js-23239637,6
11312,44.85,Sweaters,Monitored analyzing approach,Tommy Hilfiger,157.96,Men,Jh-75282738,4
11313,49.87,Jeans,Bootcut Jeans,Calvin Klein,103.72,Women,cA-20157710,10
11314,15.54,Jeans,Skinny Jeans,MG,56.35,Men,CC-71567606,1
11315,15.59,Tops,Cotton T-Shirt,MG,49.33,Women,Dt-42060596,4
11316,59.75,Pants,Synchronized executive functionalities,Puma,189.97,Men,gu-31790116,1
11317,13.13,Plus,Inverse asymmetric adapter,Calvin Klein,49.23,Men,vU-92291287,8
11318,31.76,Sweaters,Implemented transitional hardware,Adidas,58.69,Women,cS-14350511,7
11319,40.95,Plus,Optimized asymmetric capability,Puma,87.14,Women,RB-17286049,4
11320,1.67,Plus,Right-sized discrete intranet,Levi's,7.23,Women,Ri-71161930,10
11321,4.9,Plus,Multi-tiered radical structure,Puma,10.1,Women,bz-30215172,4
11322,87.05,Outerwear & Coats,Triple-buffered national help-desk,Levi's,313.04,Women,GE-53208387,6
11323,73.62,Pants,Profound even-keeled task-force,Levi's,201.07,Women,lw-57436232,2
11324,87.37,Tops,Cotton T-Shirt,Calvin Klein,280.5,Women,tl-59680066,5
11325,23.91,Sweaters,Phased multimedia standardization,Tommy Hilfiger,51.09,Women,td-07799226,1
